seq1	19q2.3	(24.3,55.8)
seq2	9p2.14	(41.9,75.2)
seq3	1p4.10	(58.8,1.5)
seq4	1p10.6	(55.6,8.9)
seq5	6q14.11	(73.7,55.5)
seq6	12p15.11	(19.5,69.8)
seq7	19q7.2	(77.2,90.0)
seq8	14q6.10	(98.8,73.9)
seq9	20q15.3	(23.7,27.7)
seq10	1p8.1	(51.3,87.6)
seq11	1q11.1	(30.9,37.2)
seq12	10p11.10	(96.4,33.1)
seq13	6p3.9	(95.1,15.1)
seq14	20p13.9	(2.4,25.6)
seq15	22q15.8	(50.8,26.6)
seq16	9q1.9	(38.9,97.0)
seq17	12p9.10	(17.2,4.4)
seq18	4q5.13	(32.6,67.1)
seq19	3q7.2	(65.9,16.8)
seq20	11p5.7	(72.2,20.2)
seq21	12p6.11	(98.4,70.8)
seq22	21p8.6	(33.0,31.9)
seq23	6q13.11	(51.8,56.0)
seq24	21q10.10	(13.8,24.1)
seq25	4p12.3	(55.1,34.0)
seq26	7p7.3	(74.3,87.4)
seq27	16q1.14	(59.9,40.1)
seq28	7p11.10	(69.7,14.3)
seq29	16q9.11	(73.8,23.4)
seq30	9q12.1	(95.8,50.0)
seq31	9q13.14	(9.3,97.8)
seq32	4q13.4	(32.4,96.5)
seq33	18q6.5	(83.7,20.5)
seq34	14p2.4	(28.5,47.0)
seq35	1p11.6	(97.3,62.0)
seq36	3p5.10	(80.7,95.8)
seq37	14p4.14	(41.1,14.3)
seq38	17p10.11	(20.2,8.3)
seq39	12q6.12	(42.6,6.9)
seq40	21q7.9	(67.3,31.9)
seq41	2q1.11	(26.3,38.4)
seq42	6p12.5	(46.6,51.9)
seq43	17q5.1	(58.6,43.3)
seq44	21p10.13	(75.7,71.9)
seq45	12q8.11	(94.0,33.4)
seq46	9q8.10	(37.6,42.6)
seq47	20p8.7	(39.0,98.7)
seq48	7p15.9	(28.6,48.4)
seq49	16q7.15	(90.1,19.7)
seq50	15q13.13	(18.6,88.2)
seq51	20q7.13	(9.2,80.0)
seq52	19p10.3	(63.1,23.3)
seq53	17q9.4	(76.8,18.3)
seq54	10q4.10	(87.7,94.5)
seq55	22q3.8	(83.5,66.3)
seq56	6p5.2	(84.0,20.4)
seq57	1p2.13	(79.8,32.8)
seq58	2p12.8	(79.9,51.2)
seq59	18q15.12	(95.8,69.4)
seq60	12p1.6	(63.4,97.3)
seq61	7q11.5	(84.2,77.4)
seq62	14p4.7	(35.8,3.5)
seq63	15p8.13	(58.1,33.4)
seq64	20q9.4	(99.1,74.8)
seq65	18q13.5	(84.1,49.2)
seq66	5p6.2	(53.7,76.6)
seq67	5q12.4	(42.6,37.0)
